label,text,ticket_id
O365,I keep getting an error when I try to sign in to Skype for Business and I can't get it to connect. Can you help me get logged in?,1ff92bd15f4e1390
Support general,"Hi, just flagging that OS updates need to be applied to [SERVER] — can someone get those scheduled and taken care of?",0d39381207121727
Fileservice,"Hi, I'd like to request a new user account to be set up please. Could someone help get that sorted? Thanks!",537758eda24726f4
O365,"Hi, could you please create a shared mailbox for us? Let me know if you need any more details to get it set up.",34b2a0c8e0df293e
O365,"Good afternoon! I'd like to request a new email address be created for the ESH area to send out communications — something like [LOCATION]Comunica or [LOCATION]Brazil would work. It would need to be accessible from both my machine and [NAME]'s machine. Is that something that can be arranged? Thank you, [NAME]",163a6658663a987f
Fileservice,"Hi there, could you please add [NAME] from [COMPANY] in [LOCATION] to the file share? Their email is [EMAIL]. They'll need read/write access. Thanks!",b94f62097ec834f9
Fileservice,"Hello, we have a new starter who needs a user account set up. Could you please get them created in the system when you have a moment?",1956c579a14983d9
Active Directory,"Hi team, we have an employee who is leaving the company and I need their account cancelled and all access revoked. Please let me know if you need any details to get this processed.",bbb2e35c64c7469f
Fileservice,"Hello, could you please create a new folder for me on the J: drive? The folder should be set up under [SE. Let me know if you need anything else from me to get that done.",2fe6dda811dc31b1
Fileservice,Good morning! I was wondering if you could please grant me read/write access to a shared drive folder. Could someone reach out so I can provide the details? Thank you very much!,04b8bd3899af9a72
EOL,"Hi there, [SERVER] is end-of-life and needs to be decommissioned. Can you remove it from Nexthink, verify any IP reservations are cleared, and notify the network team to remove the firewall rules?",e7cfed11c83f99ae
Software,"Hey, I need to install the software for my Wi-Fi receiver but I don't have the permissions to do it myself. Could someone help me get that installed?",80325ad001f8724d
O365,"Hi, some of my emails seem to be missing in Outlook — I'm not sure where they've gone. Can someone help me figure out what happened to them?",103bf531e731ce8b
Software,"Hi, could you please install Adobe Acrobat DC Pro on my computer? I need the full version to work with some documents.",65bc8a9c1375b508
Active Directory,"Hey, could you please create a new Organizational Unit called 'West' in Active Directory? Let me know if you need any additional details.",6e2a22ca5251f20c
O365,I'm running into problems with both Skype and OneNote — neither one seems to be working properly right now. Could someone take a look at both?,a6fdd6fa82d7f533
Active Directory,"Hi, I need help with something related to [COMPANY] at [LOCATION] on [SERVER]. Could someone reach out so I can explain what's needed?",3deae2f7bcae31aa
Active Directory,"Hello, we need to cancel a user account and revoke all of their access. Can you please take care of this?",313ce2204e42f504
Support general,"Hi, I need some help getting equipment activated at [LOCATION] — the device is [SERVER]. Could someone assist with the activation process?",a882a30f01f55609
Fileservice,Could you please give me read/write access to L:/CS? I need to be able to open and save files there for my work.,4ee2c4dcc907fb82
