run,ticket_id,text,label,prediction,raw_output
Mac baseline,f378873b0f1ea6f3,"Hey, I'm trying to duplicate my screen but I can't get it to work — could someone help me set it up?",Support general,Computer-Services,Computer-Services
Mac baseline,3aadf05c0023ccb5,"Hi, we received an NTT alert — it looks like there's a ping monitoring alert for [SERVER] related to cpe0013940 ([LOCATION]_ManuelOcampo) at [COMPANY] SE. Can someone investigate what's going on with [LOCATION] Monitor [LOCATION]_ManuelOcampo?",Support general,Computer-Services,Computer-Services
Mac baseline,5618d09f6de8030d,"Hi, I'm following up on a ticket that was reopened — this is regarding the Light User external account request for [NAME], original ticket [TICKET ID]. Could you take another look when you get a chance?",Support general,Active Directory,Active Directory
Mac baseline,5c25918d4aee6b69,"Hey, I just got a new computer and need help getting it set up. Can someone assist?",Active Directory,Support general,Support general
Mac baseline,c54842cfb5164519,"Hello, I need a light external user account set up for someone outside the company — just email and basic access is all they need. Please let me know once it's ready!",Support general,O365,O365
Mac baseline,04e7a1cadf1c0fed,"Could you help decommission [SERVER]? It needs to be removed from Nexthink, any IP reservations should be checked and cleaned up, and the network team will need to be notified to drop the firewall rules.",EOL,Computer-Services,Computer-Services
Mac baseline,ca9d9f0ae5efb7b2,"We're taking [SERVER] offline for good. Could you handle removing it from Nexthink, sorting out any IP reservations, and coordinating with the network team on the firewall rules?",EOL,Computer-Services,Computer-Services
Mac baseline,63f6fb73bec352c2,"Hey, I need some help with my system configuration. Could someone reach out to assist me with getting things set up properly?",Software,Support general,Support general
Mac baseline,59783116879e08be,"Hey, could you handle the decommission of [SERVER] from Nexthink? That includes removing the system, reviewing any IP reservations, and coordinating with the network team to get the firewall rules removed.",EOL,Active Directory,Active Directory
Mac baseline,5bf48dac4eb5e908,"Hi, [NAME] is having two issues — Outlook isn't working at all and there's also no internet connection on their machine. Can someone come by to help as soon as possible?",O365,Computer-Services,Computer-Services
Mac baseline,fa68dd5c95d45878,"We need to decommission [SERVER] from Nexthink — please remove the system, check whether there are any IP reservations tied to it, and ping the network team to clean up the firewall rules.",EOL,Computer-Services,Computer-Services
Mac baseline,60fa4ab945587d53,"Hi, whenever I try to open a PDF file it keeps opening in WordPad instead of a PDF reader, and I can't read it properly at all. Can someone help me fix this so my PDFs open correctly?",Software,Fileservice,Fileservice
Mac baseline,c7e5effd97d8f661,"Hi team, we need to decommission [SERVER] — can you go ahead and remove it from Nexthink, check whether there are any IP reservations to clean up, and let the network team know to pull the firewall rules?",EOL,Computer-Services,Computer-Services
Mac baseline,4285cb50bc44c508,"Hi there, could you help me get a new user account set up? Please let me know if you need any additional details from me. Thanks!",Fileservice,Active Directory,Active Directory
Mac baseline,69d44b1d6452e518,This was flagged by [COMPANY] [LOCATION] — there's a vulnerable [LOCATION] on [SERVER] that needs to be looked into.,Support general,Computer-Services,Computer-Services
Mac baseline,5697782db77bd8d7,"Hi, could you please create a Basic User account for [USERNAME]? Thanks in advance.",Support general,Active Directory,Active Directory
Mac baseline,30c7556ac5fb9dc7,"Hi, could you please set up a new account for me? I just started and need to get access sorted out. Thanks!",Active Directory,Support general,Support general
Mac baseline,20d97bc47beed79a,"Hello, could you set up a Light external user account with email and basic system access? It's for someone who works outside our organization. Thanks in advance!",Support general,O365,O365
Mac baseline,fa09b8fcc4971e56,"Hi there, we have a new user who needs an account set up. They'll need a Windows login, an Exchange email, Skype, and access to the standard shared drives. Could you get that created for them?",Support general,Active Directory,Active Directory
Mac baseline,b4c99e51aef70256,"I'm having a weird issue — when I'm connected through VPN, I can't access my R: drive the normal way. The only way I can get to it is by typing in the IP address directly. Is there a fix for this?",Fileservice,Computer-Services,Computer-Services
Mac baseline,f64826de097b8ced,"Hi! The [LOCATION] already has a PDS1000 helium gun listed in the equipment subfolder in Outlook called 'Genie Gun,' and we need a second PDS1000 added to that same folder listed as 'Genie Gun #2.' Could you get that added for us? Thanks so much!",O365,Fileservice,Fileservice
